Participant,Condition,Duration,Estimate
AW2TBYJM32KBE,optimism,72,8
AAXYYH9MI3PJM,optimism,24,13
AY5J43G9KD11K,pessimism,72,5
A16WTL2DOIQ5SV,pessimism,72,2
A2JCHN90PRUWDH,optimism,24,40
A1PZ1YZAQEXRSQ,pessimism,24,3
AVOF14300525D,realism,24,30
A2GOS6NF74E2ST,realism,24,3
A2SLYK6SKBYZJ3,realism,72,2
A39QOA9M7GNF86,pessimism,12,5
A31Q7PWLBCU2X0,realism,12,10
A1NS16PLRPJ3YW,optimism,24,11
A4DPYQC1W4I0V,pessimism,4,20
A3N8JP3QR3VPE8,optimism,72,9
A32CIL5S21Y4MR,pessimism,24,5
A2CZL2LYH2130N,realism,4,33
ACRKDBKAS8GM1,optimism,24,12
A4PFM9Z80RXUY,optimism,4,45
A1YBUA89N9CV2N,pessimism,24,8
A1ECUDAJQXQUNB,pessimism,24,5
A3JWLZQE19KVPT,realism,12,10
A27O2IILV3S5YS,realism,4,50
A26RP7ZM977MLU,optimism,12,20
A2WQ3ZGXUF5FHO,pessimism,4,30
AD5TBRUAPC2Z6,optimism,72,4
A2JE7DQ6TNIERA,realism,12,15
AV6M01CFWBQSH,pessimism,4,80
A2GIYD0TEI3V62,optimism,72,76
A3LZXYZI1HYE9H,pessimism,24,3
A18MC27WTCEBA2,optimism,24,11
A3N7R7P9HP2YB6,realism,72,20
A1YOZ0DRFDFXXI,realism,4,25
A18FK1XR73EQ2W,realism,12,14
A1GYO6CJMVA9ZA,pessimism,24,3
A1GXKLEEY3FB40,optimism,12,22
A2UVZ2TKPH9KYW,optimism,72,30
A2SNMMSKX224GR,optimism,72,75
A3VMKLJTSGYKHN,realism,4,33
A21G010TCSMZZ8,optimism,72,10
A2VU8AC7MY3721,pessimism,12,3%
ABED2Q9MQNN2D,optimism,24,9
ADPGLYJ7IHYLE,optimism,12,20
AQ0Q4ORZVPRHX,realism,4,30
A2O5OJXCUFQ3FV,pessimism,12,30
A2T5SWA51PFGQZ,pessimism,4,30
ATHS9CW2FLYUY,realism,24,4
A24LJOG57FO0MI,optimism,24,10
A2868HFLIU4V0C,optimism,72,5
A2SYRFPPV9WDEG,pessimism,4,25
A14NHWVCSJ3GZW,realism,72,5
A2NBQXD2V7045H,pessimism,24,3
A81E86PSRR80C,optimism,4,50
A2SJHIW7UA33MS,realism,72,5
AUK4KGOJP9F0H,pessimism,4,86
A28RX7L0QZ993M,optimism,72,4
A2IGIN0WASUNUM,realism,72,50
A35DRH3JKQLDLZ,optimism,72,4
A36VL9CZKKV0E0,pessimism,12,6
AK7OWBZVKPS5Q,optimism,24,9
A3UKRC3LBM1LEW,realism,72,2
A23TQQBMP0WE0X,realism,12,10
A318QP0E1HS9DX,pessimism,72,3
APRAZGAOXBK8R,pessimism,24,7
A3774HPOUKYTX7,realism,24,22
A1G746AO9F06KW,realism,12,10
A1Q6IR9E7MW3BM,optimism,24,9
A2Q0G312LESWK7,pessimism,12,10
A36JP8HRN61Z3V,realism,4,20
AUA0HE293PM30,optimism,4,33
A20Z93OKJOUZES,pessimism,4,20
A26489BYPGWBGZ,pessimism,72,2
A2MCRVU8I9VNHG,pessimism,4,25
A12FCLCVIM2CL3,optimism,4,40
A2W14P7SYERJKR,pessimism,4,26
A2CHLRNGKJLPAU,optimism,24,11
AMDX0UNZS4A1G,realism,4,14
ADMTRXEG43HU0,realism,24,50
A2RXJXDJ5IWHCF,realism,72,1
AN4R2WV4D4NTK,realism,72,2
A24JT7MZ5BBB3O,pessimism,12,4%
A2R4X74AIATLEE,realism,72,2
A1DUU292K0I7DO,optimism,24,15
AGFWV1U4CJXP5,pessimism,24,6
A31AYURG5Z3M83,optimism,4,50
A2A4MCD6TG88ZB,pessimism,72,10
A13U20NTO8DK2Q,realism,12,8
A1I6J7F9S59DB0,optimism,72,0
A1X0HL24NGY33I,pessimism,4,15
A3ESC1H6BBKF30,optimism,72,40
A4U7HX5SEFM8G,realism,12,13
A38EPBV0ED7Y47,optimism,4,66
A1HH2KZIFLXRJL,realism,24,5
A2IXBTOWQRCLPZ,optimism,12,30
A1LA46VH87ZPC4,optimism,4,42
A33CFLCMJNHHNC,pessimism,72,4
A1WL3NZ50YEOWP,pessimism,4,15
A2TDAI42SCGC8X,optimism,4,60
A1SVJ3W7SDH63H,realism,4,33
A1DNJ17PE2RYJZ,pessimism,72,90
A3ML7X12VHUVUN,pessimism,4,100
A3FPXLLF0B8CIC,optimism,12,25
AA5OOUN82FYES,realism,24,8
A2A8HRBDYBV6XJ,optimism,24,2
ALK8IERMYHU5J,pessimism,12,6
A33Y1HBAR4TAAD,pessimism,4,15
A3AE627X3R2JQI,pessimism,24,5
A3DQZRMYVHTQM7,realism,12,39
A1HSY4DI5PO5Z7,realism,4,20
A9O273N0X06JS,realism,12,9
A3FUW3458K3KO,pessimism,4,15
A2JG1NAFYN2PMJ,optimism,4,20
A1ZBCPFZH8XT7X,realism,24,60
A1LTZ91HPYLFFT,realism,4,50
A1R93MQYAFEVX1,pessimism,72,0
A39RV5J8TUS5B6,realism,24,3
A2HHGI5CNSS5PD,pessimism,4,13
A1NVOFJ7K0JYOA,pessimism,24,3
A5TI9UQEPLNWI,optimism,72,3
ALT88JWMD3JVJ,realism,12,100
AUT9J39A2N4LH,pessimism,24,5
A37I8GALB7MOBG,pessimism,72,1
A1FJ84MHN342QK,realism,24,8%
A10QZA83T80YA3,optimism,24,10
A370V697M1KW6R,pessimism,12,15
A6FQHZ58DQ0S6,pessimism,24,7
A1OZL7QG65HABF,pessimism,12,6
A22LJFUCFXZKZS,optimism,12,20
A7CTMOV281BJF,optimism,4,58
A18HC62T1SROBJ,optimism,24,65
A1RJMGLULYIJCV,realism,24,60
A3LT7W355XOAKF,optimism,4,10
A37W3ZVEZMIH90,optimism,72,3
ABOEYY9Y0PFRI,pessimism,4,8
A195HVBZ40PKDX,optimism,24,10
A183WYXN12P2TJ,optimism,12,20
AIOU75PP8VZAO,optimism,12,25
A3NPL4UQWVW0NJ,optimism,12,19
AHLS6AZ1VTNH7,optimism,4,13
AFP0IIALQHFR8,pessimism,4,18
A1EBZG9HVPQ0TG,pessimism,4,5
A22847MKXI8ZYQ,pessimism,72,5
A1EY5YPJS97IE4,optimism,72,8
A380O00U82W66C,realism,24,25
A34PP2XUWYYQZB,pessimism,4,30
A1BLDN3Q5FZV36,realism,72,1
A3KJEQ2ZB0J9OV,realism,24,6
AGTLC1MJ25K4F,realism,24,7
A2YCMT5BPA0AG9,pessimism,24,10
A2SJ0PSN6JGJWP,pessimism,12,25
A86E0N4HVI58A,realism,4,5
A30YUB0WTMKX73,realism,24,10
A6YPBU0ZTSS4,realism,4,30
A2TT1B2YULYH18,optimism,24,70
A30YXOJQ26IO3P,pessimism,12,3
A748ETX7W2MBZ,realism,4,15
AHEJHFN0VV6E3,realism,24,10
A3GK779V2BRAPS,realism,12,15
A201F2B9MEH99V,pessimism,24,80
A9UBPUEWAMA06,optimism,24,80
A1KNB7B4TUIQOP,pessimism,4,33
A2P8N9UXOA06Y6,optimism,24,16
A1B79AW7Z2QNHI,realism,72,10
A40LU73SS18IW,realism,24,5
A38PKJM1ZRMDT8,pessimism,24,5
A2TLYMTFPCZVMM,optimism,4,75
AFHRMJIHMGLDE,realism,72,3
A2CCSFYX3X4ECB,optimism,72,4
A1GZOLN0Y37ATJ,pessimism,4,20
A1IM8G6UNAGQ7S,pessimism,72,80%
A2HHASQ67E4S4W,realism,12,10
A2X6K5T4P6GXTY,realism,72,66
A33KTU8KJ5CP2T,optimism,72,10
A276JM9Q4946HH,realism,12,10
A157N4LOO4ZUEA,realism,24,4
A33QI63NVR8CUO,optimism,72,0
A1WF1X8PQQJ2OQ,optimism,4,56
APQMFEY1KUL6A,realism,12,20
A2E6YGE4JHMTWJ,optimism,24,5
A23C0K84LJ5ZV3,pessimism,72,70
A1H9L9ARVCMJMX,realism,24,3
A2K0ZIL8MS0N3E,pessimism,24,70
A3QSFMLVH7L5DF,pessimism,12,12
A2WX0GMSZUCP83,optimism,72,36
A2DV63JAKPMKTP,pessimism,72,1
A34XI67018IK8,realism,12,9
AWXF87XT5F60O,pessimism,4,20
A1XIIHV1GTI97H,optimism,12,60%
A2IVUW3VOHJL8J,pessimism,12,10
A2XYDJS33I2341,optimism,24,8
A1QYORNO0GY308,pessimism,24,2
A144CG4DJ1O4P3,optimism,72,70
A32UG2P47Y7M1A,realism,24,5%
